protocol;Gauge Name;Gauge Address;Reward Token;Reward Address;Reward Amount;Reward sd Value;Share % per Protocol
curve;ETH+OETH ;0xd03BE91b1932715709e18021734fcB91BB431715;OGV;0x9c354503C38481a7A7a51629142963F98eCC12D0;380170.617;3392.716;0.959
curve;ALCX+FRAXBP ;0xD5bE6A05B45aEd524730B6d1CC05F59b021f6c87;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;45.958;535.981;0.151
curve;XAI+FRAXBP ;0xa8Ea11465A1375BF42463C3B613dFC54248b9C7B;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;237.763;2773.363;0.784
curve;FRAX+USDC ;0xCFc25170633581Bf896CB6CDeE170e3E3Aa59503;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;22344.776;260561.956;73.63
curve;dETH+frxETH ;0x688Eb2C49D352c9448049A2263CFcE63D0918d3e;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;22.703;262.024;0.074
curve;rETH+frxETH ;0xb0549599d8446A196541dE11008eF5e79fA14F57;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;172.962;2017.615;0.57
curve;USDT+crvUSD ;0x4e6bB6B7447B7B2Aa268C16AB87F4Bb48BF57939;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;17949.297;17590.438;4.971
curve;USDC+crvUSD ;0x95f00391cB5EebCd190EB58728B4CE23DbFa6ac1;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;10351.38;10144.427;2.867
curve;crvUSD+WETH+CRV ;0x8D867BEf70C6733ff25Cc0D1caa8aA6c38B24817;CRV;0xD533a949740bb3306d119CC777fa900bA034cd52;57754.901;56600.208;15.994
balancer;80Silo-20WETH;0x6661136537dfDCA26EEA05c8500502d7D5796E5E;SILO;0x6f80310CA7F2C654691D1383149Fa1A57d8AB1f8;51325.084;267.168;33.096
balancer;B-baoUSD-LUSD-BPT;0x5aF3B93Fb82ab8691b82a09CBBae7b8D3eB5Ac11;BAL;0xba100000625a3754423978a60c9317c58a424e3D;237.326;147.114;18.224
balancer;B-baoETH-ETH-BPT;0xD449Efa0A587f2cb6BE3AE577Bc167a774525810;BAL;0xba100000625a3754423978a60c9317c58a424e3D;153.287;109.179;13.524
balancer;50WETH-50AURA;0x275df57d2b23d53e20322b4bb71bf1dcb21d0a00;AURA;0xC0c293ce456fF0ED870ADd98a0828Dd4d2903DBF;86.31;7.119;0.881
balancer;B-rETH-STABLE;0x54f220a891f468629027c3cc8a58722d4f576402;RPL;0xD33526068D116cE69F19A9ee46F0bd304F21A51f;18.375;35.336;4.377
balancer;rETH-WETH-BPT;0x00b9bcd17cb049739d25fd7f826caa2e23b05620;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;161.047;17.616;2.182
balancer;rETH-WETH-BPT;0x00b9bcd17cb049739d25fd7f826caa2e23b05620;RPL;0xD33526068D116cE69F19A9ee46F0bd304F21A51f;6.066;11.666;1.445
balancer;wstETH-WETH-BPT;0xb6d101874b975083c76598542946fe047f059066;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;172.716;18.892;2.34
balancer;50STG-503POOL-BPT;0x4f3f3501f376d93e4e5fd61d4168f871cbf67c97;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;466.80;51.06;6.325
balancer;ETHx-WETH-BPT;0x274fda0d445097dccc55c7f7ef85bfd3877a132e;USDC;0xA0b86991c6218b36c1d19D4a2e9Eb0cE3606eB48;653.135;71.442;8.85
balancer;50rETH-50RPL;0x2c2179abce3413e27bda6917f60ae37f96d01826;RPL;0xD33526068D116cE69F19A9ee46F0bd304F21A51f;36.736;70.645;8.751
frax;Temple FRAX/TEMPLE;0x10460d02226d6ef7B2419aE150E6377BdbB7Ef16;DAI;0x6B175474E89094C44Da98b954EedeAC495271d0F;547.442;100.181;23.571
frax;Convex stkcvxCOILFRAXBP;0x39cd4db6460d8B5961F73E997E86DdbB7Ca4D5F6;FXS;0x3432B6A60D23Ca0dFCa7761B7ab56459D9C964D0;212.264;212.259;49.942
frax;Fraxswap V2 FRAX/IQ;0x7af00CF8D3a8A75210a5Ed74f2254E2EC43B5B5b;IQ;0x579CEa1889991f68aCc35Ff5c3dd0621fF29b0C9;131131.002;112.571;26.487